emoji,anger,fear,joy,sadness,native,unicode,bytes-UTF-8,description
1f60a,0.067,0.073,0.248,0.247,😊,1F60A,\xF0\x9F\x98\x8A,smiling face with smiling eyes
1f5fb,0.196,0.225,0.253,0.172,🗻,1F5FB,\xF0\x9F\x97\xBB,mount fuji
25b6,0.168,0.284,0.17,0.178,▶,25B6,\xE2\x96\xB6,black right-pointing triangle
26a1,0.252,0.244,0.147,0.228,⚡,26A1,\xE2\x9A\xA1,high voltage sign
1f34c,0.219,0.296,0.184,0.086,🍌,1F34C,\xF0\x9F\x8D\x8C,banana
1f44e,0.442,0.465,0.137,0.471,👎,1F44E,\xF0\x9F\x91\x8E,thumbs down sign
1f481,0.361,0.099,0.197,0.112,💁,1F481,\xF0\x9F\x92\x81,information desk person
2198,0.23,0.242,0.103,0.175,↘,2198,\xE2\x86\x98,south east arrow
1f492,0.092,0.139,0.631,0.252,💒,1F492,\xF0\x9F\x92\x92,wedding
1f4b0,0.185,0.173,0.143,0.177,💰,1F4B0,\xF0\x9F\x92\xB0,money bag
1f4d2,0.115,0.17,0.256,0.182,📒,1F4D2,\xF0\x9F\x93\x92,ledger
1f320,0.176,0.16,0.377,0.2,🌠,1F320,\xF0\x9F\x8C\xA0,shooting star
1f331,0.223,0.289,0.503,0.169,🌱,1F331,\xF0\x9F\x8C\xB1,seedling
26c4,0.119,0.203,0.128,0.278,⛄,26C4,\xE2\x9B\x84,snowman without snow
1f44c,0.153,0.21,0.206,0.16,👌,1F44C,\xF0\x9F\x91\x8C,ok hand sign
1f46b,0.075,0.096,0.266,0.131,👫,1F46B,\xF0\x9F\x91\xAB,man and woman holding hands
303d,0.203,0.123,0.201,0.305,〽,303D,\xE3\x80\xBD,part alternation mark
1f50e,0.177,0.253,0.244,0.123,🔎,1F50E,\xF0\x9F\x94\x8E,right-pointing magnifying glass
1f534,0.244,0.22,0.112,0.279,🔴,1F534,\xF0\x9F\x94\xB4,large red circle
1f346,0.353,0.234,0.178,0.165,🍆,1F346,\xF0\x9F\x8D\x86,aubergine
1f367,0.213,0.168,0.152,0.096,🍧,1F367,\xF0\x9F\x8D\xA7,shaved ice
1f3ae,0.138,0.202,0.145,0.25,🎮,1F3AE,\xF0\x9F\x8E\xAE,video game
1f4ac,0.233,0.302,0.227,0.214,💬,1F4AC,\xF0\x9F\x92\xAC,speech balloon
1f47d,0.15,0.231,0.155,0.152,👽,1F47D,\xF0\x9F\x91\xBD,extraterrestrial alien
1f4db,0.269,0.25,0.147,0.201,📛,1F4DB,\xF0\x9F\x93\x9B,name badge
1f33e,0.188,0.259,0.383,0.215,🌾,1F33E,\xF0\x9F\x8C\xBE,ear of rice
1f393,0.162,0.103,0.392,0.126,🎓,1F393,\xF0\x9F\x8E\x93,graduation cap
1f4e5,0.205,0.126,0.14,0.213,📥,1F4E5,\xF0\x9F\x93\xA5,inbox tray
1f616,0.392,0.531,0.172,0.433,😖,1F616,\xF0\x9F\x98\x96,confounded face
1f4e2,0.271,0.199,0.15,0.216,📢,1F4E2,\xF0\x9F\x93\xA2,public address loudspeaker
1f3ea,0.191,0.178,0.176,0.176,🏪,1F3EA,\xF0\x9F\x8F\xAA,convenience store
1f426,0.22,0.243,0.213,0.142,🐦,1F426,\xF0\x9F\x90\xA6,bird
1f45d,0.123,0.17,0.253,0.31,👝,1F45D,\xF0\x9F\x91\x9D,pouch
1f4af,0.254,0.147,0.145,0.123,💯,1F4AF,\xF0\x9F\x92\xAF,hundred points symbol
1f4c6,0.139,0.267,0.095,0.299,📆,1F4C6,\xF0\x9F\x93\x86,tear-off calendar
1f4eb,0.191,0.108,0.097,0.136,📫,1F4EB,\xF0\x9F\x93\xAB,closed mailbox with raised flag
2600,0.11,0.251,0.267,0.18,☀,2600,\xE2\x98\x80,black sun with rays
1f339,0.129,0.161,0.334,0.199,🌹,1F339,\xF0\x9F\x8C\xB9,rose
1f35e,0.142,0.205,0.181,0.156,🍞,1F35E,\xF0\x9F\x8D\x9E,bread
1f3e8,0.075,0.246,0.196,0.184,🏨,1F3E8,\xF0\x9F\x8F\xA8,hotel
1f484,0.276,0.168,0.502,0.141,💄,1F484,\xF0\x9F\x92\x84,lipstick
1f607,0.108,0.092,0.28,0.123,😇,1F607,\xF0\x9F\x98\x87,smiling face with halo
1f60f,0.258,0.041,0.096,0.146,😏,1F60F,\xF0\x9F\x98\x8F,smirking face
1f631,0.292,0.263,0.133,0.21,😱,1F631,\xF0\x9F\x98\xB1,face screaming in fear
1f645,0.288,0.288,0.11,0.296,🙅,1F645,\xF0\x9F\x99\x85,face with no good gesture
26f2,0.101,0.229,0.276,0.292,⛲,26F2,\xE2\x9B\xB2,fountain
1f4ba,0.155,0.24,0.067,0.137,💺,1F4BA,\xF0\x9F\x92\xBA,seat
25c0,0.256,0.262,0.114,0.296,◀,25C0,\xE2\x97\x80,black left-pointing triangle
2665,0.165,0.123,0.336,0.193,♥,2665,\xE2\x99\xA5,black heart suit
1f531,0.228,0.144,0.219,0.257,🔱,1F531,\xF0\x9F\x94\xB1,trident emblem
1f554,0.126,0.335,0.21,0.264,🕔,1F554,\xF0\x9F\x95\x94,clock face five oclock
1f612,0.418,0.297,0.119,0.333,😒,1F612,\xF0\x9F\x98\x92,unamused face
1f490,0.09,0.251,0.326,0.181,💐,1F490,\xF0\x9F\x92\x90,bouquet
1f4c4,0.196,0.31,0.3,0.29,📄,1F4C4,\xF0\x9F\x93\x84,page facing up
1f4d3,0.128,0.144,0.281,0.174,📓,1F4D3,\xF0\x9F\x93\x93,notebook
1f532,0.361,0.212,0.235,0.228,🔲,1F532,\xF0\x9F\x94\xB2,black square button
1f609,0.098,0.053,0.129,0.171,😉,1F609,\xF0\x9F\x98\x89,winking face
1f4a1,0.237,0.199,0.306,0.225,💡,1F4A1,\xF0\x9F\x92\xA1,electric light bulb
1f4bd,0.194,0.187,0.328,0.229,💽,1F4BD,\xF0\x9F\x92\xBD,minidisc
1f61b,0.242,0.19,0.142,0.14,😛,1F61B,\xF0\x9F\x98\x9B,face with stuck-out tongue
1f3e5,0.128,0.376,0.305,0.184,🏥,1F3E5,\xF0\x9F\x8F\xA5,hospital
1f4a4,0.142,0.213,0.411,0.289,💤,1F4A4,\xF0\x9F\x92\xA4,sleeping symbol
1f527,0.25,0.313,0.337,0.137,🔧,1F527,\xF0\x9F\x94\xA7,wrench
1f649,0.303,0.277,0.094,0.283,🙉,1F649,\xF0\x9F\x99\x89,hear-no-evil monkey
1f3aa,0.113,0.196,0.111,0.204,🎪,1F3AA,\xF0\x9F\x8E\xAA,circus tent
1f435,0.194,0.327,0.079,0.061,🐵,1F435,\xF0\x9F\x90\xB5,monkey face
1f516,0.257,0.174,0.182,0.289,🔖,1F516,\xF0\x9F\x94\x96,bookmark
1f63c,0.25,0.083,0.078,0.121,😼,1F63C,\xF0\x9F\x98\xBC,cat face with wry smile
1f345,0.284,0.22,0.294,0.236,🍅,1F345,\xF0\x9F\x8D\x85,tomato
1f4d8,0.156,0.191,0.149,0.193,📘,1F4D8,\xF0\x9F\x93\x98,blue book
1f3a7,0.167,0.148,0.266,0.316,🎧,1F3A7,\xF0\x9F\x8E\xA7,headphone
1f451,0.333,0.118,0.268,0.127,👑,1F451,\xF0\x9F\x91\x91,crown
1f4ab,0.233,0.147,0.359,0.134,💫,1F4AB,\xF0\x9F\x92\xAB,dizzy symbol
1f555,0.143,0.393,0.169,0.326,🕕,1F555,\xF0\x9F\x95\x95,clock face six oclock
1f632,0.348,0.411,0.138,0.327,😲,1F632,\xF0\x9F\x98\xB2,astonished face
1f606,0.165,0.216,0.119,0.188,😆,1F606,\xF0\x9F\x98\x86,smiling face with open mouth and tightly-closed eyes
26aa,0.22,0.164,0.121,0.217,⚪,26AA,\xE2\x9A\xAA,medium white circle
1f475,0.235,0.299,0.326,0.279,👵,1F475,\xF0\x9F\x91\xB5,older woman
1f4bf,0.22,0.165,0.332,0.261,💿,1F4BF,\xF0\x9F\x92\xBF,optical disc
1f50d,0.222,0.276,0.203,0.131,🔍,1F50D,\xF0\x9F\x94\x8D,left-pointing magnifying glass
2650,0.17,0.217,0.21,0.22,♐,2650,\xE2\x99\x90,sagittarius
26fd,0.375,0.161,0.138,0.185,⛽,26FD,\xE2\x9B\xBD,fuel pump
1f33d,0.141,0.156,0.182,0.167,🌽,1F33D,\xF0\x9F\x8C\xBD,ear of maize
1f372,0.18,0.149,0.177,0.193,🍲,1F372,\xF0\x9F\x8D\xB2,pot of food
1f551,0.122,0.35,0.191,0.298,🕑,1F551,\xF0\x9F\x95\x91,clock face two oclock
2653,0.169,0.176,0.233,0.239,♓,2653,\xE2\x99\x93,pisces
26bd,0.147,0.332,0.115,0.411,⚽,26BD,\xE2\x9A\xBD,soccer ball
1f385,0.131,0.226,0.254,0.166,🎅,1F385,\xF0\x9F\x8E\x85,father christmas
23ea,0.301,0.233,0.189,0.282,⏪,23EA,\xE2\x8F\xAA,black left-pointing double triangle
1f3bb,0.176,0.139,0.298,0.224,🎻,1F3BB,\xF0\x9F\x8E\xBB,violin
1f493,0.171,0.078,0.323,0.157,💓,1F493,\xF0\x9F\x92\x93,beating heart
1f600,0.163,0.173,0.171,0.186,😀,1F600,\xF0\x9F\x98\x80,grinning face
1f467,0.227,0.16,0.214,0.146,👧,1F467,\xF0\x9F\x91\xA7,girl
1f4cc,0.299,0.263,0.136,0.177,📌,1F4CC,\xF0\x9F\x93\x8C,pushpin
1f627,0.309,0.485,0.14,0.369,😧,1F627,\xF0\x9F\x98\xA7,anguished face
1f633,0.281,0.263,0.102,0.231,😳,1F633,\xF0\x9F\x98\xB3,flushed face
1f64d,0.346,0.374,0.145,0.421,🙍,1F64D,\xF0\x9F\x99\x8D,person frowning
263a,0.095,0.13,0.245,0.176,☺,263A,\xE2\x98\xBA,white smiling face
1f3bf,0.103,0.077,0.051,0.192,🎿,1F3BF,\xF0\x9F\x8E\xBF,ski and ski boot
1f44f,0.219,0.256,0.189,0.214,👏,1F44F,\xF0\x9F\x91\x8F,clapping hands sign
1f48b,0.272,0.108,0.273,0.167,💋,1F48B,\xF0\x9F\x92\x8B,kiss mark
1f536,0.33,0.211,0.223,0.335,🔶,1F536,\xF0\x9F\x94\xB6,large orange diamond
1f62f,0.314,0.355,0.137,0.353,😯,1F62F,\xF0\x9F\x98\xAF,hushed face
2614,0.184,0.242,0.254,0.37,☔,2614,\xE2\x98\x94,umbrella with rain drops
1f33f,0.152,0.282,0.509,0.138,🌿,1F33F,\xF0\x9F\x8C\xBF,herb
1f482,0.19,0.23,0.081,0.176,💂,1F482,\xF0\x9F\x92\x82,guardsman
1f3e9,0.041,0.141,0.229,0.155,🏩,1F3E9,\xF0\x9F\x8F\xA9,love hotel
1f47e,0.128,0.228,0.087,0.197,👾,1F47E,\xF0\x9F\x91\xBE,alien monster
1f4c1,0.151,0.217,0.158,0.205,📁,1F4C1,\xF0\x9F\x93\x81,file folder
1f4e3,0.239,0.214,0.167,0.22,📣,1F4E3,\xF0\x9F\x93\xA3,cheering megaphone
1f41b,0.268,0.27,0.174,0.102,🐛,1F41B,\xF0\x9F\x90\x9B,bug
1f421,0.21,0.214,0.155,0.138,🐡,1F421,\xF0\x9F\x90\xA1,blowfish
1f43b,0.205,0.256,0.129,0.196,🐻,1F43B,\xF0\x9F\x90\xBB,bear face
1f51f,0.217,0.109,0.086,0.173,🔟,1F51F,\xF0\x9F\x94\x9F,keycap ten
1f61a,0.179,0.08,0.217,0.168,😚,1F61A,\xF0\x9F\x98\x9A,kissing face with closed eyes
1f425,0.135,0.147,0.152,0.151,🐥,1F425,\xF0\x9F\x90\xA5,front-facing baby chick
1f488,0.135,0.163,0.174,0.18,💈,1F488,\xF0\x9F\x92\x88,barber pole
1f448,0.199,0.262,0.226,0.251,👈,1F448,\xF0\x9F\x91\x88,white left pointing backhand index
1f522,0.174,0.186,0.219,0.139,🔢,1F522,\xF0\x9F\x94\xA2,input symbol for numbers
1f61f,0.349,0.397,0.097,0.348,😟,1F61F,\xF0\x9F\x98\x9F,worried face
1f301,0.162,0.301,0.317,0.283,🌁,1F301,\xF0\x9F\x8C\x81,foggy
1f422,0.108,0.251,0.239,0.08,🐢,1F422,\xF0\x9F\x90\xA2,turtle
1f5fc,0.115,0.092,0.168,0.24,🗼,1F5FC,\xF0\x9F\x97\xBC,tokyo tower
1f4b8,0.123,0.096,0.166,0.121,💸,1F4B8,\xF0\x9F\x92\xB8,money with wings
1f4e0,0.241,0.352,0.167,0.226,📠,1F4E0,\xF0\x9F\x93\xA0,fax machine
26be,0.143,0.242,0.099,0.369,⚾,26BE,\xE2\x9A\xBE,baseball
1f36f,0.177,0.181,0.264,0.143,🍯,1F36F,\xF0\x9F\x8D\xAF,honey pot
1f4b3,0.144,0.089,0.241,0.213,💳,1F4B3,\xF0\x9F\x92\xB3,credit card
1f4f9,0.301,0.29,0.235,0.202,📹,1F4F9,\xF0\x9F\x93\xB9,video camera
1f34f,0.16,0.188,0.405,0.102,🍏,1F34F,\xF0\x9F\x8D\x8F,green apple
1f464,0.294,0.347,0.186,0.279,👤,1F464,\xF0\x9F\x91\xA4,bust in silhouette
1f483,0.112,0.116,0.138,0.139,💃,1F483,\xF0\x9F\x92\x83,dancer
1f4df,0.144,0.191,0.229,0.259,📟,1F4DF,\xF0\x9F\x93\x9F,pager
1f630,0.343,0.439,0.134,0.352,😰,1F630,\xF0\x9F\x98\xB0,face with open mouth and cold sweat
1f379,0.144,0.178,0.159,0.119,🍹,1F379,\xF0\x9F\x8D\xB9,tropical drink
1f476,0.266,0.201,0.457,0.156,👶,1F476,\xF0\x9F\x91\xB6,baby
267f,0.18,0.179,0.093,0.264,♿,267F,\xE2\x99\xBF,wheelchair symbol
26ce,0.213,0.17,0.233,0.228,⛎,26CE,\xE2\x9B\x8E,ophiuchus
1f418,0.224,0.234,0.163,0.156,🐘,1F418,\xF0\x9F\x90\x98,elephant
1f4b4,0.217,0.182,0.171,0.302,💴,1F4B4,\xF0\x9F\x92\xB4,banknote with yen sign
26a0,0.264,0.293,0.107,0.212,⚠,26A0,\xE2\x9A\xA0,warning sign
1f370,0.126,0.196,0.166,0.089,🍰,1F370,\xF0\x9F\x8D\xB0,shortcake
1f432,0.198,0.298,0.205,0.157,🐲,1F432,\xF0\x9F\x90\xB2,dragon face
1f51a,0.285,0.32,0.232,0.403,🔚,1F51A,\xF0\x9F\x94\x9A,end with leftwards arrow above
1f601,0.091,0.251,0.123,0.079,😁,1F601,\xF0\x9F\x98\x81,grinning face with smiling eyes
1f311,0.239,0.221,0.258,0.291,🌑,1F311,\xF0\x9F\x8C\x91,new moon symbol
1f45e,0.276,0.174,0.11,0.173,👞,1F45E,\xF0\x9F\x91\x9E,mans shoe
1f470,0.193,0.268,0.502,0.185,👰,1F470,\xF0\x9F\x91\xB0,bride with veil
1f480,0.362,0.267,0.056,0.218,💀,1F480,\xF0\x9F\x92\x80,skull
1f48a,0.195,0.253,0.182,0.203,💊,1F48A,\xF0\x9F\x92\x8A,pill
1f4e6,0.126,0.186,0.214,0.143,📦,1F4E6,\xF0\x9F\x93\xA6,package
1f3f0,0.069,0.202,0.132,0.222,🏰,1F3F0,\xF0\x9F\x8F\xB0,european castle
1f4d1,0.137,0.228,0.301,0.23,📑,1F4D1,\xF0\x9F\x93\x91,bookmark tabs
1f60b,0.128,0.107,0.169,0.091,😋,1F60B,\xF0\x9F\x98\x8B,face savouring delicious food
1f461,0.246,0.236,0.208,0.23,👡,1F461,\xF0\x9F\x91\xA1,womans sandal
1f468,0.243,0.131,0.291,0.098,👨,1F468,\xF0\x9F\x91\xA8,man
1f47b,0.147,0.201,0.017,0.108,👻,1F47B,\xF0\x9F\x91\xBB,ghost
1f4de,0.179,0.167,0.101,0.311,📞,1F4DE,\xF0\x9F\x93\x9E,telephone receiver
2663,0.188,0.228,0.128,0.248,♣,2663,\xE2\x99\xA3,black club suit
3030,0.235,0.287,0.253,0.268,〰,3030,\xE3\x80\xB0,wavy dash
1f3b3,0.074,0.165,0.073,0.275,🎳,1F3B3,\xF0\x9F\x8E\xB3,bowling
1f44a,0.236,0.253,0.13,0.273,👊,1F44A,\xF0\x9F\x91\x8A,fisted hand sign
1f485,0.418,0.121,0.314,0.099,💅,1F485,\xF0\x9F\x92\x85,nail polish
1f558,0.15,0.367,0.197,0.331,🕘,1F558,\xF0\x9F\x95\x98,clock face nine oclock
1f359,0.103,0.254,0.092,0.262,🍙,1F359,\xF0\x9F\x8D\x99,rice ball
1f4dd,0.147,0.235,0.269,0.203,📝,1F4DD,\xF0\x9F\x93\x9D,memo
1f62e,0.271,0.29,0.16,0.295,😮,1F62E,\xF0\x9F\x98\xAE,face with open mouth
203c,0.157,0.125,0.063,0.086,‼,203C,\xE2\x80\xBC,double exclamation mark
23eb,0.243,0.236,0.251,0.256,⏫,23EB,\xE2\x8F\xAB,black up-pointing double triangle
2b50,0.237,0.175,0.29,0.16,⭐,2B50,\xE2\xAD\x90,white medium star
1f4a8,0.363,0.18,0.102,0.164,💨,1F4A8,\xF0\x9F\x92\xA8,dash symbol
264d,0.17,0.109,0.264,0.195,♍,264D,\xE2\x99\x8D,virgo
1f342,0.133,0.167,0.286,0.168,🍂,1F342,\xF0\x9F\x8D\x82,fallen leaf
1f3a9,0.172,0.214,0.112,0.207,🎩,1F3A9,\xF0\x9F\x8E\xA9,top hat
1f44d,0.202,0.265,0.264,0.194,👍,1F44D,\xF0\x9F\x91\x8D,thumbs up sign
1f469,0.241,0.215,0.29,0.142,👩,1F469,\xF0\x9F\x91\xA9,woman
1f495,0.172,0.088,0.383,0.142,💕,1F495,\xF0\x9F\x92\x95,two hearts
1f4b5,0.21,0.19,0.149,0.192,💵,1F4B5,\xF0\x9F\x92\xB5,banknote with dollar sign
1f4f7,0.198,0.296,0.287,0.197,📷,1F4F7,\xF0\x9F\x93\xB7,camera
1f538,0.258,0.162,0.234,0.271,🔸,1F538,\xF0\x9F\x94\xB8,small orange diamond
1f5fe,0.122,0.213,0.241,0.152,🗾,1F5FE,\xF0\x9F\x97\xBE,silhouette of japan
1f417,0.187,0.269,0.122,0.158,🐗,1F417,\xF0\x9F\x90\x97,boar
1f466,0.171,0.155,0.225,0.159,👦,1F466,\xF0\x9F\x91\xA6,boy
1f4d6,0.196,0.207,0.259,0.243,📖,1F4D6,\xF0\x9F\x93\x96,open book
1f503,0.229,0.234,0.23,0.262,🔃,1F503,\xF0\x9F\x94\x83,clockwise downwards and upwards open circle arrows
1f4d7,0.154,0.24,0.391,0.107,📗,1F4D7,\xF0\x9F\x93\x97,green book
1f51c,0.123,0.179,0.191,0.302,🔜,1F51C,\xF0\x9F\x94\x9C,soon with rightwards arrow above
1f373,0.078,0.221,0.139,0.118,🍳,1F373,\xF0\x9F\x8D\xB3,cooking
1f3b0,0.085,0.169,0.067,0.23,🎰,1F3B0,\xF0\x9F\x8E\xB0,slot machine
1f513,0.207,0.206,0.17,0.109,🔓,1F513,\xF0\x9F\x94\x93,open lock
1f343,0.231,0.194,0.382,0.139,🍃,1F343,\xF0\x9F\x8D\x83,leaf fluttering in wind
1f4ea,0.184,0.19,0.109,0.181,📪,1F4EA,\xF0\x9F\x93\xAA,closed mailbox with lowered flag
1f62a,0.267,0.375,0.205,0.367,😪,1F62A,\xF0\x9F\x98\xAA,sleepy face
1f308,0.183,0.207,0.317,0.261,🌈,1F308,\xF0\x9F\x8C\x88,rainbow
1f3a4,0.121,0.081,0.237,0.29,🎤,1F3A4,\xF0\x9F\x8E\xA4,microphone
1f3bc,0.149,0.09,0.371,0.315,🎼,1F3BC,\xF0\x9F\x8E\xBC,musical score
1f533,0.351,0.226,0.225,0.167,🔳,1F533,\xF0\x9F\x94\xB3,white square button
1f620,0.493,0.375,0.074,0.443,😠,1F620,\xF0\x9F\x98\xA0,angry face
2652,0.178,0.306,0.232,0.228,♒,2652,\xE2\x99\x92,aquarius
1f442,0.299,0.33,0.316,0.357,👂,1F442,\xF0\x9F\x91\x82,ear
1f4c0,0.184,0.143,0.319,0.307,📀,1F4C0,\xF0\x9F\x93\x80,dvd
2197,0.199,0.224,0.159,0.243,↗,2197,\xE2\x86\x97,north east arrow
2934,0.262,0.255,0.222,0.229,⤴,2934,\xE2\xA4\xB4,arrow pointing rightwards then curving upwards
1f355,0.142,0.109,0.149,0.11,🍕,1F355,\xF0\x9F\x8D\x95,slice of pizza
1f4e8,0.24,0.196,0.168,0.248,📨,1F4E8,\xF0\x9F\x93\xA8,incoming envelope
2615,0.142,0.2,0.317,0.106,☕,2615,\xE2\x98\x95,hot beverage
1f429,0.186,0.216,0.168,0.152,🐩,1F429,\xF0\x9F\x90\xA9,poodle
1f457,0.183,0.16,0.292,0.242,👗,1F457,\xF0\x9F\x91\x97,dress
1f471,0.257,0.23,0.226,0.166,👱,1F471,\xF0\x9F\x91\xB1,person with blond hair
1f48c,0.13,0.15,0.331,0.142,💌,1F48C,\xF0\x9F\x92\x8C,love letter
1f4a3,0.22,0.196,0.163,0.205,💣,1F4A3,\xF0\x9F\x92\xA3,bomb
1f3af,0.177,0.213,0.098,0.09,🎯,1F3AF,\xF0\x9F\x8E\xAF,direct hit
1f4a2,0.316,0.208,0.036,0.289,💢,1F4A2,\xF0\x9F\x92\xA2,anger symbol
1f50a,0.259,0.187,0.154,0.348,🔊,1F50A,\xF0\x9F\x94\x8A,speaker with three sound waves
1f539,0.23,0.181,0.246,0.232,🔹,1F539,\xF0\x9F\x94\xB9,small blue diamond
1f638,0.12,0.161,0.176,0.201,😸,1F638,\xF0\x9F\x98\xB8,grinning cat face with smiling eyes
1f382,0.055,0.185,0.317,0.122,🎂,1F382,\xF0\x9F\x8E\x82,birthday cake
1f3a0,0.119,0.128,0.125,0.173,🎠,1F3A0,\xF0\x9F\x8E\xA0,carousel horse
1f3a6,0.273,0.207,0.206,0.218,🎦,1F3A6,\xF0\x9F\x8E\xA6,cinema
1f46f,0.241,0.11,0.052,0.18,👯,1F46F,\xF0\x9F\x91\xAF,woman with bunny ears
1f49e,0.2,0.097,0.427,0.142,💞,1F49E,\xF0\x9F\x92\x9E,revolving hearts
1f35d,0.056,0.149,0.149,0.159,🍝,1F35D,\xF0\x9F\x8D\x9D,spaghetti
1f35f,0.164,0.154,0.14,0.177,🍟,1F35F,\xF0\x9F\x8D\x9F,french fries
1f366,0.156,0.181,0.141,0.09,🍦,1F366,\xF0\x9F\x8D\xA6,soft ice cream
1f3e3,0.19,0.309,0.226,0.249,🏣,1F3E3,\xF0\x9F\x8F\xA3,japanese post office
1f443,0.383,0.272,0.186,0.52,👃,1F443,\xF0\x9F\x91\x83,nose
1f4d5,0.199,0.162,0.256,0.16,📕,1F4D5,\xF0\x9F\x93\x95,closed book
1f3c0,0.171,0.209,0.118,0.398,🏀,1F3C0,\xF0\x9F\x8F\x80,basketball and hoop
1f43d,0.212,0.188,0.167,0.392,🐽,1F43D,\xF0\x9F\x90\xBD,pig nose
264f,0.185,0.218,0.302,0.274,♏,264F,\xE2\x99\x8F,scorpius
26ab,0.335,0.212,0.176,0.3,⚫,26AB,\xE2\x9A\xAB,medium black circle
2b05,0.282,0.221,0.126,0.199,⬅,2B05,\xE2\xAC\x85,leftwards black arrow
1f478,0.398,0.198,0.337,0.175,👸,1F478,\xF0\x9F\x91\xB8,princess
1f511,0.165,0.157,0.239,0.116,🔑,1F511,\xF0\x9F\x94\x91,key
1f341,0.279,0.172,0.208,0.147,🍁,1F341,\xF0\x9F\x8D\x81,maple leaf
1f3b9,0.132,0.108,0.34,0.265,🎹,1F3B9,\xF0\x9F\x8E\xB9,musical keyboard
1f3eb,0.15,0.268,0.296,0.162,🏫,1F3EB,\xF0\x9F\x8F\xAB,school
1f4f0,0.222,0.338,0.27,0.246,📰,1F4F0,\xF0\x9F\x93\xB0,newspaper
21a9,0.181,0.292,0.179,0.208,↩,21A9,\xE2\x86\xA9,leftwards arrow with hook
1f36b,0.147,0.117,0.152,0.108,🍫,1F36B,\xF0\x9F\x8D\xAB,chocolate bar
1f36c,0.192,0.184,0.188,0.12,🍬,1F36C,\xF0\x9F\x8D\xAC,candy
264c,0.241,0.221,0.212,0.241,♌,264C,\xE2\x99\x8C,leo
3297,0.158,0.162,0.255,0.199,㊗,3297,\xE3\x8A\x97,circled ideograph congratulation
1f314,0.181,0.245,0.327,0.221,🌔,1F314,\xF0\x9F\x8C\x94,waxing gibbous moon symbol
1f427,0.151,0.188,0.134,0.141,🐧,1F427,\xF0\x9F\x90\xA7,penguin
1f42e,0.142,0.222,0.129,0.185,🐮,1F42E,\xF0\x9F\x90\xAE,cow face
1f42f,0.13,0.392,0.074,0.259,🐯,1F42F,\xF0\x9F\x90\xAF,tiger face
1f305,0.107,0.292,0.4,0.158,🌅,1F305,\xF0\x9F\x8C\x85,sunrise
1f3a8,0.136,0.118,0.442,0.058,🎨,1F3A8,\xF0\x9F\x8E\xA8,artist palette
1f50b,0.082,0.179,0.196,0.111,🔋,1F50B,\xF0\x9F\x94\x8B,battery
1f624,0.399,0.21,0.043,0.22,😤,1F624,\xF0\x9F\x98\xA4,face with look of triumph
25fb,0.395,0.255,0.169,0.231,◻,25FB,\xE2\x97\xBB,white medium square
26f3,0.134,0.207,0.222,0.175,⛳,26F3,\xE2\x9B\xB3,flag in hole
1f3c3,0.162,0.297,0.062,0.2,🏃,1F3C3,\xF0\x9F\x8F\x83,runner
23ec,0.287,0.247,0.22,0.224,⏬,23EC,\xE2\x8F\xAC,black down-pointing double triangle
1f347,0.176,0.155,0.179,0.176,🍇,1F347,\xF0\x9F\x8D\x87,grapes
1f428,0.119,0.217,0.116,0.109,🐨,1F428,\xF0\x9F\x90\xA8,koala
1f4ce,0.289,0.219,0.194,0.231,📎,1F4CE,\xF0\x9F\x93\x8E,paperclip
1f4e4,0.204,0.229,0.197,0.194,📤,1F4E4,\xF0\x9F\x93\xA4,outbox tray
1f462,0.221,0.095,0.127,0.239,👢,1F462,\xF0\x9F\x91\xA2,womans boots
1f489,0.21,0.245,0.142,0.124,💉,1F489,\xF0\x9F\x92\x89,syringe
1f52f,0.249,0.161,0.343,0.282,🔯,1F52F,\xF0\x9F\x94\xAF,six pointed star with middle dot
1f30f,0.163,0.242,0.261,0.188,🌏,1F30F,\xF0\x9F\x8C\x8F,earth globe asia-australia
1f348,0.282,0.313,0.262,0.077,🍈,1F348,\xF0\x9F\x8D\x88,melon
1f353,0.153,0.198,0.197,0.104,🍓,1F353,\xF0\x9F\x8D\x93,strawberry
1f4a7,0.199,0.223,0.203,0.248,💧,1F4A7,\xF0\x9F\x92\xA7,droplet
1f639,0.438,0.178,0.116,0.282,😹,1F639,\xF0\x9F\x98\xB9,cat face with tears of joy
1f319,0.098,0.137,0.287,0.218,🌙,1F319,\xF0\x9F\x8C\x99,crescent moon
1f3a1,0.092,0.168,0.141,0.156,🎡,1F3A1,\xF0\x9F\x8E\xA1,ferris wheel
1f4e7,0.26,0.225,0.21,0.24,📧,1F4E7,\xF0\x9F\x93\xA7,e-mail symbol
25fe,0.392,0.211,0.186,0.255,◾,25FE,\xE2\x97\xBE,black medium small square
1f446,0.259,0.142,0.46,0.299,👆,1F446,\xF0\x9F\x91\x86,white up pointing backhand index
1f53d,0.195,0.258,0.182,0.225,🔽,1F53D,\xF0\x9F\x94\xBD,down-pointing small red triangle
1f55b,0.186,0.347,0.165,0.349,🕛,1F55B,\xF0\x9F\x95\x9B,clock face twelve oclock
1f458,0.144,0.196,0.238,0.222,👘,1F458,\xF0\x9F\x91\x98,kimono
1f494,0.244,0.34,0.199,0.332,💔,1F494,\xF0\x9F\x92\x94,broken heart
1f648,0.183,0.27,0.089,0.135,🙈,1F648,\xF0\x9F\x99\x88,see-no-evil monkey
